partner,Nom,mandate,state,signature_date,last_debit_date
000001,AMPA ESCOLA HEURA,10010690000000000000000000000000,valid,2015-02-25,2017-10-27
000007,APA CEIP EMPURIES,70026120000000000000000000000000,valid,2015-08-01,2017-10-27
000008,AFA DE L'I.E. COSTA I LLOBERA,80021620000000000000000000000000,valid,2014-10-08,2017-10-27
000010,AMPA ESCOLA RUIZ AMADO,100035450000000000000000000000000,valid,2017-09-01,2017-10-27
000011,APA CEIP  MOSSÈN JACINT VERDAGUER,110026750000000000000000000000000,valid,2015-08-01,2017-10-27
000018,AMPA CEIP ENXANETA,180026910000000000000000000000000,valid,2015-04-11,2017-10-27
000020,AMPA ESCOLA MONTSERRAT,200034900000000000000000000000000,valid,2016-11-01,2017-10-27
000021,AMPA DE L'ESCOLA L'AVET ROIG,210038600000000000000000000000000,esborrany,2018-06-01,2017-10-27
000029,AMPA ESCOLA JUNGFRAU,290003200000000000000000000000000,valid,2015-02-23,2017-10-27
000032,AMPA EI INSTITUCIO MONTSERRAT,320035840000000000000000000000000,valid,2017-03-01,2017-11-24
000033,AMPA ESCOLA ILDEFONS CERDÀ,330002610000000000000000000000000,valid,2014-10-01,2017-10-27
000036,AMPA ESCOLA BARCELONA,360021630000000000000000000000000,valid,2014-10-01,2017-10-27
000037,AMPA ESCOLA GRAVI,370010660000000000000000000000000,valid,2014-10-01,2017-10-27
000040,AMPA ESCOLA LLEBETX D'ADARRÓ,400021640000000000000000000000000,valid,2014-09-30,2017-10-27
000042,AMPA CEIP EL FARELL,420039200000000000000000000000000,esborrany,2018-07-01,2017-10-25
000043,AMPA ESCOLA PERE VILA,430021650000000000000000000000000,esborrany,2014-10-01,2017-10-27
000044,AFA ELVIRA CUYÀS,440021660000000000000000000000000,valid,2014-10-01,2017-10-27
000045,AMPA ESCOLA SEAT,450027460000000000000000000000000,valid,2015-10-01,2017-10-27
000047,AMPA CEIP ANDREU FARRAN,470017180000000000000000000000000,valid,2015-02-23,2017-10-27
000049,AMPA CEIP SANT MARTI,490006330000000000000000000000000,valid,2014-10-27,2017-10-27
